Matricula,Marca
AIP 852 MC,FUSO CANTER
AIR 039 MC,FUSO CANTER
AIL 168 MC,FUSO CANTER
AIH 933 MC, ZHONG TONG
AIH 894 MC, ZHONG TONG
AGY 696 MC ,TATA
AHA 393 MC ,TATA
AHA 236 MC ,TATA
AGU 682 MC,VOLKSWAGEN
AGY 693 MC ,TATA
AGZ 306 MC ,TATA
AGU 674 MC,VOLKSWAGEN
AHJ 604 MC,VOLKSWAGEN NEO
AGY 683 MC ,TATA
AGZ 281 MC ,TATA
AIH 902 MC, ZHONG TONG
AGU 676 MC,VOLKSWAGEN
AHA 285 MC ,TATA
AGZ 251 MC ,TATA
AGZ 331 MC ,TATA
AGV 051 MC,VOLKSWAGEN
AIH 896 MC, ZHONG TONG
AGY  671 MC,TATA
AGV 049 MC,VOLKSWAGEN 
AIH 980 MC, ZHONG TONG
AHA 953 MC ,TATA
AGX 353 MC ,TATA
AGZ 244 MC ,TATA
AGU 673 MC,VOLKSWAGEN 
AIH 974 MC, ZHONG TONG
AIH 971 MC, ZHONG TONG
AIH 995 MC, ZHONG TONG
AIH 937 MC, ZHONG TONG
AGT 687 MC, ZHONG TONG
AGT 694 MC, ZHONG TONG
AGT 677 MC, ZHONG TONG
AGT 683 MC, ZHONG TONG
AGT 695 MC, ZHONG TONG
AGT 698 MC, ZHONG TONG
AGT 707 MC, ZHONG TONG
AGT 709 MC, ZHONG TONG
AGU 681 MC,VOLKSWAGEN
AGU 683 MC,VOLKSWAGEN
AGV 047 MC,VOLKSWAGEN
AGV 048 MC,VOLKSWAGEN
AGV 052 MC,VOLKSWAGEN
AGV 053 MC,VOLKSWAGEN
AGV 698 MC,VOLKSWAGEN
AIH 998 MC, ZHONG TONG
AIR 035 MC,FUSO CANTER
AIH 963 MC, ZHONG TONG
AHW 299 MC,YUTONG
AIR 036 MC,FUSO CANTER
AIH 941 MC, ZHONG TONG
AHJ 612 MC,VOLKSWAGEN NEO
AIH 979 MC, ZHONG TONG
AHJ 616 MC,VOLKSWAGEN NEO
AHJ 619 MC,VOLKSWAGEN NEO
AHJ 620 MC,VOLKSWAGEN NEO
AIH 959 MC, ZHONG TONG
AHW 092 MC,YUTONG
AIH 972 MC, ZHONG TONG
AIH 970 MC, ZHONG TONG
AIH 887 MC, ZHONG TONG
AIH 940 MC, ZHONG TONG
AIH 922 MC , ZHONG TONG 
AHV 729 MC ,YUTONG
AHV 728 MC ,YUTONG
AHV 724 MC ,YUTONG
AHV 759 MC ,YUTONG
AHV 752 MC ,YUTONG
AHV 671 MC ,YUTONG
